product,narrative
credit_reporting,back lost wallet personal information inside think much went get new social security dl continued everyday life never issue couple day ago decided pull credit continued get suspicious letter mail looked report shocked number item opened name suspicious item mine please remove report collection
credit_reporting,sent letter asking transunion investigate item believe inaccurate sent another note today received response notification investigation begun
mortgages_and_loans,td bank failed process mortgage payment timely claim owe due error threated report credit bureau mistake failure process payment horrible
credit_reporting,independent contractor company discontinued relationship offer advertised demonstrated misleading opinion unsound tactic addition marketing platform provided via search misinterpreted service suggestive nature sent marketing department remove name completely done
credit_reporting,trying get incorrect address belong removed credit report sent letter every month equifax received mail back movement please remove wrong address proof residential address attached nc sc nc sc equifax nc nc
mortgages_and_loans,received notice navient loan refinanced never requested contacted refinance asking provide proof give copy document signed course keep stating mail never received paying extra loan paid ahead little interest remained old loan interest cost significantly higher
credit_reporting,husband purchased home reached penfed multiple time inquire mortgage showing credit report representative stated know escalate issue able reach someone today stated would open ticket could provide reference number mortgage need reflect credit report
debt_collection,sent certified verification debt letter medical business bureau unfortunately bureau failed provide documentation signature verifying debt pay pay anything verified requested detailed documentaion bureau could proivde info
debt_collection,reached capio partner reference account account result identity theft reporting report inaccurate violating fair debt reporting act
credit_reporting,transunion responding dispute disputing item credit report non responded patient understand covid caused delay getting ridiculous law still notify respond within day erroneous item credit report need removed immediately
debt_collection,recollection company received personal information violated consumer right according fico received documentation company nothing furnish
credit_reporting,driver license suspended letter dmv saying good standind
debt_collection,debt collection credit report mine never account
credit_reporting,fdcpa section violation falsely reporting
credit_reporting,first progress reporting debt credit file owe know debt checked credit receive letter call notification debt soon found paid debt requesting debt removed credit file
mortgages_and_loans,vehicle taken month ago sold yet balance still showing credit report remaining balance owed yet brought car made payment car year steward financial svcs rip finance company took car pocketbook belong friend
debt_collection,learned navient requested received hard copy credit report never authorized transaction requested applied loan company navient continues act recklessly carelessly unethically
credit_reporting,account credit bureau account past time frame allowed reported proof account eight year old never able prove account ever payment time frame violating fcra three credit bureau transunion
credit_card,never late payment minimum payment called american express twice asking explanation give answer best answer minimum balance balance card preset spending limit learned put account limit get information advance intention pay walk etc kind charge create stress
debt_collection,collection company keep putting erroneous misleading information credit report keep taking replacing back believe criminal point willing travel anywhere deposition court proceeding
credit_reporting,freeze credit report five credit bureau need removed immediately following bureau listed equifax
credit_reporting,submitted letter show submitted request three major credit bureau remove bankruptcy none three removed bankruptcy addition never bankruptcy could charge account bankruptcy exist conspiracy blocking account recent credit card report bank two four blocked
credit_reporting,rd requested credit freeze removed file name oh please remove credit report dob s attached id s card
credit_reporting,filing complaint ignored request provide document company file used verify account disputed gone past day mark verify account section frca required promptly delete information disputed please resolve manner soon possible thank
credit_reporting,tired resolve issue writing company unfamiliar inquiry also never seen credit report request free annual report notice company didnt respond like requested delete credit report day didnt hire help issue im referring file
credit_reporting,sent letter trans union notifying checking credit report several credit inquires authorize credit report requested validate information provide copy documentation receiving response day sent letter demanding follow still yet receive validation proof investigation investigation method
debt_collection,since sent frost arnett four request debt validation attached copy recent letter dated proof fax delivery including letter sent bureau verify debt collection agency validate debt enough time want account deleted
credit_reporting,hello recall missing payment capital one reached two company time time help correct error informed matter would handled accordingly told error part issue would forgiven updated reflect report pleading please correct error
credit_reporting,stating signed product never received good aligners never received proved never received service teeth still messed one account att knowledge currently att therefor dont know problem transunion deleted item past back report refuse update belief reporting agency
credit_reporting,process trying rent apartment credit got pulled saw several thing belong credit report item please removed credit report
mortgages_and_loans,purchased vehicle fro texas paid payment signed finance contract came make payment finance company southern cascade fiance decided deny contract make resubmit everything resigned another contract week ago southern cascade fiance demanding paystubs document related loan threatening come take car
credit_reporting,already sent document first complaint experian claimed received resending document per experian request fraudulent item removed blocked
credit_reporting,reported credit error gave day day still deleted erroneous information
debt_collection,employee called today without first call portfolio recovery fdcpa violation proof ownership provided mentioned legal action considering point consider threat regarding old account
credit_reporting,contacted jp morgan chase bank card service negotiated settlement balance owed also told account would deleted report balance waited account still exists
credit_reporting,submitted two dispute incorrect information removed report dispute result stated item would deleted spoke stated updating profile month item still remain
credit_card,late payment remark account due covid due circumstance get chance knowledge time delinquency get payment deferred causing damage applying mortgage typically always pay time ordinary situation
debt_collection,pro charged amount credit mine never agreed signed amount also made aware negative inquiry tried disputing charge multiple time time say debt mine there proof want prove give documentation debt provided document stating debt mine refuse remove charge credit
credit_reporting,account belong recently added credit report disputed requested documentation received
credit_reporting,disputed late payment credit bureau updated late payment info say positive late payment however experian asked experian verified information sucessfull attemps high credit also reflect last payment say
credit_reporting,victim identity theft information listed appears credit report relate transaction made result identity theft please delete block account credit
credit_reporting,account credit profile never account financial institution please support account method verification type binding agreement account sure
credit_reporting,credit card show credit report limit showing day past due never opened card account belong filed dispute experian called file dispute well woman phone took information name address phone etc said would look dispute came back accurate fraudulent account negatively impacting
credit_reporting,account original debtor account number collection opened reported experian report debt reported experian investigated yet item remains report disputed requested signed proof opened account provide account never opened yet account remains open credit report
credit_reporting,looked internet hard inquiry stay person credit report month transunion remove hard inquiry credit report hard inquiry removed transunion seems problem keeping credit report accurate
credit_reporting,hard time credit bureau helping correct error reporting credit report
credit_card,date someone tried obtain credit card name help
credit_reporting,address listed correct new york address lived lived year club activity joined made applied data finance authorize
credit_reporting,writing believe account never applied responsible debt victim identity theft somebody used personal information applied account
credit_reporting,ask many time account remove account next next file lawsuit
credit_reporting,loan dsnb bloom dsnb macys always made payment time see always stellar payment record company tried contacting dsnb bloom dsnb macys successful resolution definitely error part
credit_reporting,contacted credit bureau multiple occasion yet fix issue multiple inquiry credit report authorized need removed immediately
credit_reporting,experian still reporting bankruptcy belong removed inaccuracy sent letter experian follow suit also told verified court bankruptcy filed reached court sc got written letter dont verify item letter sent experian said verified court big discrepancy
mortgages_and_loans,asked toyota motor remove fraudulent inquires avail
credit_reporting,fraudulent credit account fraudulent credit account
credit_reporting,first time encountered identity theft pulled credit coupe fraudulent account belong find name social security used open account also trying file tax consultant informed social security number already filed please removed unknown item report soon possible
credit_reporting,violation fair credit reporting act requested block fraudulent item credit report failed timely manner
credit_reporting,collection doesnt exist cant prove invoice affect medical prove bill paid request collection removed credit report immediately causing tremendous financial burden call grant weber told case mngr x dont even invoice going customer told unproven claim never put credit report please help correct
credit_card,citi bank ran credit without permission notice closing best buy elite card never made late payment account given notice give permission run credit
debt_collection,account fraudulent account theyre trying collect mine open knowledge somebody stole identity open account knowledge im alerting proper authority
credit_reporting,currently numerous inquiry public record listed credit report knowledge knowledge ever bankruptcy inquiry authorized initiated result fraud malpractice
credit_reporting,experian continues report fraudulent inaccurate information credit report investigation system flawed violation fcra continuously reporting negative fraudulent information credit report
retail_banking,pnc let link account external source solid reason see happened
credit_reporting,xxxxdispute xxxxdispute xxxxdispute xxxxdispute xxxxdispute xxxxdispute chapter bankruptcy dismisseddispute filed ftc reporting public record opted
credit_reporting,toyota motor credit put negative action credit report wasnt
debt_collection,recently obtained copy credit report national credit system continues violate right according fair debt collection practice act fdcpa also company violation according usc attached copy id company defaming character constantly reporting debt credit report violation according usc
mortgages_and_loans,pandemic wife lost job pandemic fell behind payment due loss income tried working directly honda fix supposed help u lates hit credit report date part xxxxxxxx vet everything make work time payment caught requesting remove lates credit report
credit_reporting,contacting citi bank year day sent letter response company credit account opened name closed account mine tried contact dont help went credit reporting verify account mine sent several written letter response
mortgages_and_loans,sold paid mortgage loan almost day received return unused escrow fund
credit_card,loan withbankamerica always made payment time reason realized late payment credit report see always stellar payment record company tried contacting transunion bankamerica successful resolution xxxxn reporting late definitely error part
credit_reporting,looking credit report notice fraudulent account belong never authorized contract business company following account listed
credit_reporting,usaa reporting debt credit file owe recently credit pulled notified usaa still reporting balance account paid month ago debt settled full need removed credit file account causing home buying process delayed deragotaroy account anymore need fixed asap
mortgages_and_loans,upon running credit issuing mortgage commitment several closing date changing mortgagee insurance midst pandemic financial uncertainty cross country mortgaged misled mistreated blatantly lied multiple occasion saddens cross country operated manner caused pocket expense
credit_reporting,amex add hard inquiry credit report per
credit_reporting,collection account experian credit report belong removed experian allow dispute
credit_reporting,last chase credit card put hard inquiry file dont recognize hard inquiry trying contact chase remove hard inquiry file company dont give answer ready call told need fi directly issuer bank
credit_card,amazon store card closed stating highly risk paying credit requested account manager review decision reopen account never history late payment always paying time still amazon store card synchrony bank closed account reward point also taken away
credit_reporting,several account reporting credit file inaccurate mine following account inaccurately reporting late date open bal equifax following account belong account result identity theft date opened tu equifax bal following unauthorized inquiry time xxxxxxxx xxxxxxxx
credit_reporting,dear amex duplicate complaint following information need verified deleted credit report soon possible fraud account
credit_reporting,check credit upset account authorize understand possible work hard kid support making sure create good life want able purchase new home begin start process decided check credit notice victim identity theft would like matter resolve item removed credit
retail_banking,bank restricts certain apps transferring money shouldnt allowed restrict using transferring money easily
credit_reporting,process trying rent apartment credit report get pulled denied due several unknown item report printed copy credit report check reason denied realized someone using social security number open account never aware account belong please remove item report
credit_reporting,removing freeze experian way problematic phone system circular writing letter fix phone digital security question take consideration mortgage sold possible one know new mortgage company name live person option mandatory consumer need better choice
retail_banking,attempted open saving account online bank already current checking account holder denied denial stated due lexisnexis identity verification
retail_banking,pnc made change allow reputable investment service linked account owner service completely secure allows customer additional way easily save future
credit_reporting,multiple hard inquires experian report show tried applying certain credit card inquired inquired inquired xxxxxxxx inquired
retail_banking,trying make investment sync account transfer bank allow inconvenience
debt_collection,medical data system reached medical data account account result identity theft
mortgages_and_loans,received title loan title max ga set reoccurring payment never contacted loan problem came late saturday afternoon find car towed notice home belonging immediately called closed long time tow
credit_reporting,noticed account credit report currently litigation showing credit report
retail_banking,charged draft fee purchase havent received account deposit made transaction posted account charged day bringing account negative status called customer service told nothing could done charged overdraft fee transaction never posted account
credit_reporting,two closed account taht mine sholud deleted equifax sent documentation stating deleted information however still showing credit report need two account deleted credit
credit_reporting,every time get quote insurance either ineligible high would always ask reason always get told could credit decided pull credit extremely shocked outcome report thing listed application mine please remove item bankruptcy dismissed chapter bankruptcy dismissed
credit_reporting,victim identity theft look credit file notice account give consent cant understand could happen stressful personal information hand stranger please remove fraud account credit
credit_card,account open without permission claim limit credit card issued however claim record never even knew exist card open fraud even understand card balance contacted chase many time inform fraud
retail_banking,well fargo suspended account due suspicious activity reality wiring money international account therefore suspended online banking account refuse reactive saying way reactive account come person one branch live abroad right physically
retail_banking,capital one verify bank account stock brokerage think legally customer right access account info source necessary
debt_collection,company trying collect outstanding interest loan paid full
credit_reporting,capital one well respond mail call dispute sent credit letter capital one still failed respond give anything
credit_reporting,receiving letter mail owing child support money quite sure kid live never put child support also got denied credit card xxxxxxxx due low credit score pulled credit saw two child support item loan account belong strongly believe identity stolen please remove item report xxxxxxxx xxxxxxxx xxxxxxxx
credit_reporting,fraudulent inquiry credit report inquiry hurt credit trmemdously also causinf lot emotional please investigate fraudulent account popping credit profile one dropped score lot fair
credit_reporting,contacted equifax concerning mortgage account profile sent photo copy driver license s card recent utility bill account removed responded matter
credit_reporting,sure believe someone trying use identity apply new credit line reached td auto finance get inquire removed resolved matter
retail_banking,booked trip travel agency due trip canceled travel agency sent email stating contact cardholder refund contacted bank chase bank refunded money took money back never received went trip dont money
credit_card,chase bank hold business credit card name company month last company credit card refused transfer card new partner business even though shown secretary state website longer part business chase bank notified payment due allowing make payment online reporting missed payment
credit_reporting,notice multiple account reporting credit profile never opened authorized
credit_reporting,asking remove extended fraud alert every time call say information doesnt match sent documentation certified mail return receipt got back still change also none credit file reporting mostly everything inaccurate
credit_reporting,credit report received experian wrong name information
credit_reporting,notice negative item account car financial service sent letter asking information dealing account attached copy
credit_reporting,recently learned creditor reporting inaccurate information credit burial learned loan officer gave copy credit report contacting luck getting problem resolve
credit_reporting,equifax reporting bankruptcy credit report according bureau information came letter enclosed could verify accuracy reporting bankruptcy listed credit report attached letter saying could verify
credit_reporting,attempting dispute something credit score transunion required create account access feature charged plus signed monthly subscription service created account website intentionally misleading show would charged anything creating account
credit_card,getting benefit reviving month also trouble debit card went make purchase always said declined bank america way gave issue
debt_collection,company hold contract received service reported collection account ssn amount credit reporting agency requested verification debt account however business failed provide adequate proof considering business contract good service provided provided adequate proof obligated pay alleged debt
credit_reporting,experian account old removed credit report fraud never late credit card never late never late
credit_reporting,sent dispute letter experian back report came back reported correct corporate office show record account credit bureau telling information getting creditor ask validate show guy told couldnt
debt_collection,sent company letter stated account mine day fair credit report act state law day respond letter also contacted company told self debt mine issue get resolve choice use legal action giving fair waring please contact main credit bureau tell remove credit report asap
debt_collection,ive sent debt verification letter collection company lied said receive letter recent complaint sent cfpb tracking info saying otherwise received anything spoke
credit_reporting,reviewing credit report discovered inaccurate item credit file belong caused serious damage credit many business opportunity wont able get anything done fradulent activity file attached credit report highlighting account inaccurate transaction please account remove permanently deleted credit report
debt_collection,somebody bought insurance name insurance company auto even talking company explain car never bought policy still holding accountable balance due send collection service receiving letter getting please need help matter resolve effecting credit
retail_banking,paypal used checking account instead card ending pay invoice never authorized please credit checking account charge credit card
credit_reporting,filed complaint cfpb trying collect debt belong responded complaint would remove credit report still reported
debt_collection,order verify debt sent certified letter portfolio recovery associate llc attn dispute va asking copy original contract showing signature proof charge signature today date sent proof owe debt information showing signature continue call phone number tell call send information requested
credit_reporting,account credit report need removed longer account authorized user affecting credit score account need removed equifax enclosed letter thank advance assistance
retail_banking,fraudulent account checking account open discover bank used open name never gave permission discover bank open cheeking account name discover refusing closed account remove account site reason victim identity theft knowledge account never gave permission open account
debt_collection,keep selling bad debt several collector constantly disputed deleted credit report first disputed cbe disputed deleted sold multiple attempt constant proof account like permanently deleted
credit_reporting,dispute filed letting credit bureau know accurate information credit report credit acceptance corp
credit_reporting,already documented identity compromised aftermath left credit file unauthorized account well inquiry respectfully demanding removed due fact unknown unauthorized please remove following inquiry immediately
credit_reporting,pulled credit first time year derogatory item mine including twxxxx bankruptcy account fraudulent need deleted please remove unknown account name chapterxxxxbankruptcy
retail_banking,netspend locked account due fact said used password time missed true downloaded push square everything come would let two check need cash cash first one would cash second name social security
credit_reporting,year td bank late payment wasnt fourth like deputy
mortgages_and_loans,coronavirus crisis ca work asked postpone mortgage payment month thought trillion stimulus package allow homeowner hurt health crisis postpone payment cooper different opinion thanks heip nobody need see document attached
debt_collection,sent id theft letter police report several time debt collector refuse remove debt involved identity theft attempting collect debt involved identity theft account name never used name
credit_reporting,balance record currently reflecting past due balance account closed charged showing balance delete account violation balance account updated correctly still reporting incorrect payment history please delete
credit_reporting,several alleged collection charge account showing report fcra im demanding removal
credit_reporting,filing last complaint late payment lakeview agreed remove late payment update account credit bureau day ive checked credit still showing late
mortgages_and_loans,im looking credit report navient asking payment along charging interest pandemic
credit_reporting,original creditor removed account beacuse wasnt mine company bought lvnv funding kept last payment date wasnt original date collector bought stated last date paid wrong beacuse never recieved payment
debt_collection,synochrony bank issuing credit card social security fraud alert placed credit report recevied letter fraud review credit card opened called bank told card mine never applied card received card lose know next
debt_collection,alpha recovery corp co give personal information date birth last four social security number recorded line without properly identifying
debt_collection,employed received health benefit assumed benefit covered visit clinic never received bill notice pay dispute bill first realization debt existed checked credit report visited credit report say asking collect tried contact could get phone
credit_reporting,identity theft navient trying collect promissory note wrong spelling name fraudulent signature navient nothing two month sent certified letter keep ignoring wont take credit report
credit_reporting,writing today noticed inquiry company credit report listed kia motor finance authorize inquiry credit knowledge even applying financing company listing violation fcra need removed soon possible
credit_reporting,applying equifax free credit report initiated equifax requires file paper form saying online delivery unavailable experience credit reporting company repeatedly requiring jump hoop get free credit report valid reason extra step seen multiple time big credit reporting company
retail_banking,date amount converted purchase serviced supposedly getting wanted get money back seller doesnt want give back said doesnt dont know money want back
credit_reporting,requesting account blocked credit report belong reported account federal trade commission fact federal law enforcement agency like local police im also including current utility bill social securtiy card california driver license verify identity
mortgages_and_loans,told two occasion refinance approved closing imminent first occasion received call processor advised make mortgage payment fund would used closing closing never occurred received late fee made payment happened told mortgage application expired longer eligible loan
credit_reporting,received bill cash central amount loan request receive money identify theft reached company directly filed police report county address received hear anything back recently wherein credit score affected regarding loan collection filed numerous complaint online including response
retail_banking,applied paycheck protection program loan pnc would allow link account deposit
credit_reporting,disputed experian company opened fraud remove debt credit report first time identity stolen open account would like removed credit report
credit_reporting,asked company provide name address telephone number person contacted regarding alleged account bankruptcy requested copy document provided bearing signature showing legally binding contractual obligation account bankruptcy company continues tell item verified public record
credit_reporting,previously submitted ftc report police report identity theft fraudulent account listed credit report following account belong
debt_collection,told debt paid saw debt remove wasnt debt owe fix error left debt already paid instead taking
credit_reporting,transunion file experian report filing complaint transunion ignored request provide document company file used verify account disputed gone past day mark verify account section required promptly delete information disputed please resolve manner soon possible thank
credit_card,credit card used part fraudulent purchase filed multiple dispute citibank helping citibank recently ruled favor merchant despite fraudulent credit card also used fraudulent purchase already ruled favor refunded money citibank unwilling
debt_collection,credit report collection agency attempting collect debt knowledge never signed contract affiliate
credit_card,made purchase response cash back advertised american express received cash back yet dozen contact company
credit_reporting,transunion disputed inquiry kept telling verified ask verified get proof denied request try file police report kept telling cal bureau sent numerous dispute letter
debt_collection,reached system debt dollar appeared credit report asked provide signed original contract responded disputed nothing done received validity debt requested system inc requested
mortgages_and_loans,reporting day late correct thought given deferment due could marked late please help fix get credit report
credit_reporting,settled account number account paid full
retail_banking,money taking saving account without valid reason
credit_reporting,credco checking credit month never authorized
mortgages_and_loans,fed loan service continue furnish late payment multiple time loan account updated however requesting update payment history negative reporting continues compromise credit score
debt_collection,date opened debt allegedly owed consumer right violated usc e validation debt cease desist letter sent
